OBJECTID_1,SiteID,FieldWetla,FieldVeldA,FieldAlien,Latitude,Longitude,PairID,RecordingN,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandTyp,LandCoverC,ElevationC,FireClass,CLUSTER_ID,COLOR_ID
71,s2lam130_231130,Not near (100 m) any water,Intermediate (6-17 yrs),None,-34.326575,18.965803,476,607,23,11,30,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,12-to-17 years,105,5
124,s2lam162_231010,Not available,Not available,Not available,-33.734169,21.935163,449,1009,23,10,10,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,52,8
111,s2lam091_230727,Not available,Not available,Not available,-33.9176,19.8716,455,1022,23,7,27,Wet season,Y,Y,NA,Agriculture,Low: 0-500 m,No data or No Fire,58,2
57,s2lam025_230815,Not available,Not available,Not available,-33.915431,22.415677,483,1005,23,8,15,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,79,7
50,s2lam080_231128,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.152879,18.121392,487,1281,23,11,28,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,93,7
2,s2lam083_231025,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.015145,19.056224,512,695,23,10,25,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,95,7
97,s2lam030_231106,Not near (100 m) any water,Intermediate (6-17 yrs),None,-32.441368,19.195436,462,697,23,11,6,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,65,8
62,s2lam105_231022,Not near (100 m) any water,Intermediate (6-17 yrs),None,-34.433537,20.419391,481,570,23,10,22,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,25+ years,43,4
121,s2lam042_230805,Not available,Not available,Not available,-32.534946,19.331781,450,843,23,8,5,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,25+ years,104,2
12,s2lam136_231016,In or near (25 m) wetland,Intermediate (6-17 yrs),Scattered to Medium,-34.740038,19.788252,506,563,23,10,16,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
98,s2lam046_230805,Not available,Not available,Not available,-32.4414,19.1954,462,848,23,8,5,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,65,8
68,s2lam156_230802,Not available,Not available,Not available,-33.5189,20.544782,478,387,23,8,2,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,12-to-17 years,97,4
83,s2lam144_230707,Not available,Not available,Not available,-33.58275,23.4408,470,1128,23,7,7,Wet season,Y,Y,NA,Agriculture,High: >1000 m,25+ years,16,3
227,s2lam105_230630,Not available,Not available,Not available,-34.617127,19.8952,391,571,23,6,30,Wet season,Y,Y,Wetland Flat,Water,Low: 0-500 m,No data or No Fire,64,6
201,s2lam149_231025,Not near (100 m) any water,Old (> 17 yrs),None,-33.49175,20.48436,405,853,23,10,25,Dry season,Y,N,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,25,6
162,s2lam092_230826,Not available,Not available,Not available,-33.0332,19.0548,427,708,23,8,26,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,95,7
199,s2lam072_230704,Not available,Not available,Not available,-32.394719,19.0885,406,1276,23,7,4,Wet season,Y,N,NA,Grassland,Medium: 500-1000 m,12-to-17 years,71,2
144,s2lam164_230725,Not available,Not available,Not available,-33.9267,22.4473,437,1003,23,7,25,Wet season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,100,6
149,s2lam038_231027,Not near (100 m) any water,Old (> 17 yrs),None,-34.082716,22.968498,434,719,23,10,27,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,6,5
221,s2lam038_230819,Not available,Not available,Not available,-33.954595,23.514408,395,711,23,8,19,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
158,s2lam114_230718,Not available,Not available,Not available,-34.07371,22.9547,429,575,23,7,18,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,6,5
171,s2lam040_230703,Not available,Not available,Not available,-34.001415,23.4019,422,571,23,7,3,Wet season,Y,Y,Estuary,NA,NA,NA,77,3
161,s2lam042_231025,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.033204,19.054828,427,700,23,10,25,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,95,7
177,s2lam101_231010,Not near (100 m) any water,Old (> 17 yrs),None,-34.798492,19.966638,418,696,23,10,10,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
189,s2lam131_231026,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.509753,20.621743,412,856,23,10,26,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
169,s2lam022_230726,Not available,Not available,Not available,-33.6512,21.6421,423,1001,23,7,26,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,25+ years,69,3
138,s2lam162_231019,Not available,Not available,Not available,-33.695388,21.640262,441,1010,23,10,19,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,17-to-25 years,92,2
216,s2lam140_231009,Within 50 m of a river or stream,Old (> 17 yrs),Rare to Very Scattered,-34.072675,20.45068,398,1014,23,10,9,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,98,2
133,s2lam127_231025,Not near (100 m) any water,Old (> 17 yrs),None,-33.470573,20.639655,443,852,23,10,25,Dry season,Y,Y,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,38,7
191,s2lam041_231110,Not near (100 m) any water,Old (> 17 yrs),None,-33.954832,23.154322,411,717,23,11,10,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
184,s2lam085_231128,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.119229,18.063431,415,1281,23,11,28,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,7,3
239,s2lam063_230725,Not available,Not available,Not available,-34.422711,20.640753,384,712,23,7,25,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,6-to-12 years,90,8
233,s2lam117_230725,Not available,Not available,Not available,-33.4712,20.6193,388,1014,23,7,25,Wet season,Y,Y,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,38,7
203,s2lam030_230826,Not available,Not available,Not available,-33.025848,19.04976,404,709,23,8,26,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,95,7
242,s2lam099_231011,Not near (100 m) any water,Not available,None,-34.250183,18.412891,383,1006,23,10,11,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,9,1
187,s2lam051_230702,Not available,Not available,Not available,-34.089149,18.417434,413,583,23,7,2,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
205,s2lam109_230702,Not available,Not available,Not available,-34.0877,18.413357,403,584,23,7,2,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
181,s2lam041_231020,Within 50 m of a river or stream,Old (> 17 yrs),None,-33.987151,22.646688,416,722,23,10,20,Dry season,Y,Y,Estuary,Wetland,Low: 0-500 m,No data or No Fire,57,6
148,s2lam103_231019,Not available,Not available,Not available,-33.64218,21.639608,435,1010,23,10,19,Dry season,Y,Y,NA,Shrubland,Low: 0-500 m,25+ years,69,3
150,s2lam093_230718,Not available,Not available,Not available,-34.082714,22.968474,434,574,23,7,18,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,6,5
125,s2lam093_231117,Not near (100 m) any water,Old (> 17 yrs),None,-34.055364,23.218689,448,723,23,11,17,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,67,2
136,s2lam073_230710,Not available,Not available,Not available,-34.293436,18.4282,442,573,23,7,10,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,17,7
127,s2lam001_231013,Within 50 m of a river or stream,Not available,None,-33.284607,22.05201,447,962,23,10,13,Dry season,Y,N,NA,Grassland,Medium: 500-1000 m,No data or No Fire,86,5
155,s2lam037_230805,Not available,Not available,Not available,-32.53483,19.312273,430,842,23,8,5,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,25+ years,104,2
246,s2lam194_231122,Within 50 m of a river or stream,Intermediate (6-17 yrs),Rare to Very Scattered,-32.1507,19.026189,381,423,23,11,22,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,102,5
185,s2lam086_231113,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.978089,20.815244,414,995,23,11,13,Dry season,Y,N,NA,Agriculture,Low: 0-500 m,1-to-6 years,40,4
247,s2lam040_231027,Within 50 m of a river or stream,Old (> 17 yrs),Dense to Closed,-34.069052,22.944949,380,722,23,10,27,Dry season,Y,Y,Estuary,Forest-Woodland,Low: 0-500 m,1-to-6 years,6,5
143,s2lam152_231109,Not available,Not available,Not available,-33.926508,22.447298,437,992,23,11,9,Dry season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,100,6
