OBJECTID_1,SiteID,FieldWetla,FieldVeldA,FieldAlien,Latitude,Longitude,PairID,RecordingN,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandTyp,LandCoverC,ElevationC,FireClass,CLUSTER_ID,COLOR_ID
131,s2lam071_231115,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.107225,18.438795,444,590,23,11,15,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
231,s2lam079_230819,Not available,Not available,Not available,-33.960687,23.543736,389,714,23,8,19,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
194,s2lam105_231016,In or near (10 m) seep,Intermediate (6-17 yrs),None,-34.723023,19.769303,410,563,23,10,16,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
167,s2lam065_231010,Not near (100 m) any water,Old (> 17 yrs),None,-33.917247,19.900258,424,1006,23,10,10,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,58,2
232,s2lam079_231125,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.960716,23.543741,389,564,23,11,25,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
180,s2lam086_230820,Not available,Not available,Not available,-34.0011,18.3895,417,1021,23,8,20,Wet season,Y,Y,Seep,Forest-Woodland,Low: 0-500 m,No data or No Fire,83,8
240,s2lam136_231110,Not near (100 m) any water,Intermediate (6-17 yrs),Scattered to Medium,-34.422676,20.640744,384,722,23,11,10,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,6-to-12 years,90,8
175,s2lam159_230809,Not available,Not available,Not available,-33.865,23.1524,419,708,23,8,9,Wet season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,No data or No Fire,2,8
137,s2lam087_230726,Not available,Not available,Not available,-33.6954,21.640257,441,998,23,7,26,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,17-to-25 years,92,2
160,s2lam104_231117,Not near (100 m) any water,Old (> 17 yrs),None,-34.07349,23.226665,428,721,23,11,17,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,67,2
166,s2lam166_231122,Within 50 m of a river or stream,"Young (burned, < 6 yrs)",None,-32.143792,18.97529,425,416,23,11,22,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,17-to-25 years,82,6
198,s2lam103_231010,Not available,Not available,Not available,-33.735528,21.936247,407,1005,23,10,10,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,52,8
219,s2lam063_231022,Not near (100 m) any water,Intermediate (6-17 yrs),Dense to Closed,-34.473159,20.45838,396,576,23,10,22,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,22,3
134,s2lam130_230725,Not available,Not available,Not available,-33.4706,20.6396,443,1014,23,7,25,Wet season,Y,Y,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,38,7
208,s2lam029_231010,Not available,Not available,Not available,-33.677968,21.896282,402,1012,23,10,10,Dry season,Y,N,NA,Grassland,Low: 0-500 m,25+ years,21,1
190,s2lam138_230802,Not available,Not available,Not available,-33.5098,20.6217,412,717,23,8,2,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
154,s2lam157_231109,Within 50 m of a river or stream,"Young (burned, < 6 yrs)",Rare to Very Scattered,-33.958958,21.230142,431,543,23,11,9,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,35,1
236,s2lam148_230820,Not available,Not available,Not available,-34.7512,19.672272,386,854,23,8,20,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,12-to-17 years,54,7
192,s2lam079_230804,Not available,Not available,Not available,-33.9549,23.154352,411,723,23,8,4,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
222,s2lam074_231125,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.95463,23.514409,395,563,23,11,25,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
156,s2lam112_231106,Not near (100 m) any water,Old (> 17 yrs),None,-32.534829,19.312288,430,697,23,11,6,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,25+ years,104,2
157,s2lam093_231027,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.073685,22.954736,429,720,23,10,27,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,6,5
170,s2lam115_231019,Not available,Not available,Not available,-33.651216,21.642073,423,1012,23,10,19,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,25+ years,69,3
172,s2lam079_231011,Within 50 m of a river or stream,Old (> 17 yrs),None,-34.001408,23.401946,422,722,23,10,11,Dry season,Y,Y,Estuary,NA,NA,NA,77,3
245,s2lam092_230705,Not available,Not available,Not available,-32.1508,19.026186,381,1268,23,7,5,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,102,5
218,s2lam108_230808,Not available,Not available,Not available,-33.669031,21.54034,397,975,23,8,8,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
151,s2lam101_230725,Not available,Not available,Not available,-34.4052,20.561557,433,735,23,7,25,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,6-to-12 years,80,6
182,s2lam088_230711,Not available,Not available,Not available,-33.987141,22.646673,416,559,23,7,11,Wet season,Y,Y,Estuary,Wetland,Low: 0-500 m,No data or No Fire,57,6
179,s2lam056_231118,Not near (100 m) any water,Old (> 17 yrs),Rare to Very Scattered,-34.001124,18.389408,417,998,23,11,18,Dry season,Y,Y,Seep,Forest-Woodland,Low: 0-500 m,No data or No Fire,83,8
141,s2lam101_230605,Not available,Not available,Not available,-33.624036,22.94,438,991,23,6,5,Wet season,Y,Y,NA,Grassland,High: >1000 m,1-to-6 years,13,1
235,s2lam136_231028,Not near (100 m) any water,Old (> 17 yrs),None,-34.751197,19.672204,386,1007,23,10,28,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,12-to-17 years,54,7
348,s2lam163_230727,Not available,Not available,Not available,-33.943817,19.8949,325,985,23,7,27,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,58,2
298,s2lam126_231022,In or near (25 m) wetland,Intermediate (6-17 yrs),None,-34.461662,20.430646,353,575,23,10,22,Dry season,Y,Y,Depression,Shrubland-Fynbos,Low: 0-500 m,25+ years,43,4
325,s2lam067_231005,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.345115,21.991305,338,813,23,10,5,Dry season,Y,Y,NA,Agriculture,High: >1000 m,12-to-17 years,49,8
254,s2lam074_231130,Not near (100 m) any water,Old (> 17 yrs),None,-33.954389,23.629485,377,844,23,11,30,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
345,s2lam017_231118,Within 50 m of a river or stream,Old (> 17 yrs),Rare to Very Scattered,-34.005139,18.390442,326,998,23,11,18,Dry season,Y,Y,Floodplain,Forest-Woodland,Low: 0-500 m,No data or No Fire,83,8
309,s2lam128_230930,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.591572,23.415447,347,1144,23,9,30,Dry season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
366,s2lam112_230805,Not available,Not available,Not available,-32.5267,19.347983,316,844,23,8,5,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,No data or No Fire,104,2
371,s2lam087_231115,Not available,Not available,Not available,-33.673987,21.887969,313,863,23,11,15,Dry season,Y,N,NA,Grassland,Low: 0-500 m,25+ years,21,1
266,s2lam068_230717,Not available,Not available,Not available,-34.075806,18.402023,371,1155,23,7,17,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
258,s2lam052_231011,Not near (100 m) any water,Not available,Scattered to Medium,-34.305878,18.437492,375,1006,23,10,11,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,17,7
323,s2lam038_230804,Not available,Not available,Not available,-33.951202,23.160211,339,723,23,8,4,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
331,s2lam005_231113,Within 50 m of a river or stream,"Young (burned, < 6 yrs)",Rare to Very Scattered,-33.884555,22.439743,333,560,23,11,13,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,3,2
363,s2lam072_231025,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.038745,19.05491,317,700,23,10,25,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,95,7
373,s2lam041_231103,Not near (100 m) any water,Old (> 17 yrs),None,-33.899727,22.97416,312,717,23,11,3,Dry season,Y,N,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,33,6
267,s2lam123_231028,Not near (100 m) any water,Old (> 17 yrs),Rare to Very Scattered,-34.735711,19.664586,370,1015,23,10,28,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,54,7
271,s2lam038_231125,Not near (100 m) any water,Old (> 17 yrs),None,-33.977212,23.571202,368,590,23,11,25,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
293,s2lam105_230820,Not available,Not available,Not available,-34.746171,19.654163,357,854,23,8,20,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,12-to-17 years,54,7
307,s2lam131_230802,Not available,Not available,Not available,-33.5048,20.666078,348,718,23,8,2,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
308,s2lam137_231026,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.50481,20.666133,348,854,23,10,26,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
335,s2lam109_230710,Not available,Not available,Not available,-34.109921,18.455757,331,582,23,7,10,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
316,s2lam083_230805,Not available,Not available,Not available,-32.436214,19.17926,343,765,23,8,5,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,65,8
268,s2lam129_230820,Not available,Not available,Not available,-34.73573,19.664601,370,855,23,8,20,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,54,7
275,s2lam026_230630,Not available,Not available,Not available,-34.664639,19.648163,366,566,23,6,30,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,72,4
314,s2lam107_231110,Not near (100 m) any water,Old (> 17 yrs),None,-33.94817,23.142734,344,717,23,11,10,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
341,s2lam044_230815,Not available,Not available,Not available,-33.347,21.9313,328,1138,23,8,15,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,6-to-12 years,49,8
259,s2lam085_230703,Not available,Not available,Not available,-34.00035,18.954167,374,989,23,7,3,Wet season,Y,N,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,94,1
278,s2lam141_230813,Not available,Not available,Not available,-34.730742,19.949452,365,652,23,8,13,Wet season,Y,N,NA,Agriculture,Low: 0-500 m,No data or No Fire,87,7
261,s2lam016_231117,Within 50 m of a river or stream,Old (> 17 yrs),None,-34.033817,23.198472,373,725,23,11,17,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,67,2
300,s2lam138_230815,Not available,Not available,Not available,-33.344728,21.916987,352,1138,23,8,15,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,6-to-12 years,49,8
302,s2lam122_231106,Not available,Not available,Not available,-33.67048,21.543973,351,1131,23,11,6,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
252,s2lam099_231115,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.109067,18.449848,378,587,23,11,15,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
359,s2lam130_231013,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.336918,22.037722,319,985,23,10,13,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,6-to-12 years,49,8
351,s2lam076_230815,Not available,Not available,Not available,-33.3442,22.0214,323,1185,23,8,15,Wet season,Y,Y,NA,Forest-Woodland,High: >1000 m,6-to-12 years,49,8
270,s2lam131_231117,Not near (100 m) any water,Intermediate (6-17 yrs),Scattered to Medium,-33.831028,23.179633,369,565,23,11,17,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,101,7
291,s2lam040_231130,Not near (100 m) any water,Old (> 17 yrs),None,-33.945995,23.624932,358,847,23,11,30,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
306,s2lam160_231026,In or near (10 m) seep,"Young (burned, < 6 yrs)",None,-33.50808,20.650743,349,855,23,10,26,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
310,s2lam143_230707,Not available,Not available,Not available,-33.5916,23.415483,347,1124,23,7,7,Wet season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
369,s2lam096_231128,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.113004,18.090895,314,1281,23,11,28,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,7,3
333,s2lam115_231010,Not available,Not available,Not available,-33.731007,21.938149,332,1009,23,10,10,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,52,8
374,s2lam079_230725,Not available,Not available,Not available,-33.8999,22.9741,312,1010,23,7,25,Wet season,Y,N,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,33,6
361,s2lam074_230617,Not available,Not available,Not available,-33.9873,22.696658,318,273,23,6,17,Wet season,Y,Y,Estuary,Wetland,Low: 0-500 m,No data or No Fire,32,1
296,s2lam162_230822,Not available,Not available,Not available,-33.738029,21.672257,356,989,23,8,22,Wet season,Y,N,River,Grassland,Low: 0-500 m,No data or No Fire,78,7
322,s2lam119_231117,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-33.91147,23.136082,340,565,23,11,17,Dry season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,61,4
356,s2lam160_230717,Not available,Not available,Not available,-33.610533,23.436,321,1433,23,7,17,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
317,s2lam074_231103,Not near (100 m) any water,Old (> 17 yrs),None,-33.912325,22.965745,342,716,23,11,3,Dry season,Y,N,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,33,6
274,s2lam141_230807,Not available,Not available,Not available,-34.70654,20.0973,367,574,23,8,7,Wet season,Y,Y,NA,Agriculture,Low: 0-500 m,No data or No Fire,26,8
281,s2lam125_230803,Not available,Not available,Not available,-33.4695,20.7191,363,572,23,8,3,Wet season,Y,Y,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,53,8
324,s2lam093_231110,Not near (100 m) any water,Old (> 17 yrs),None,-33.951098,23.160279,339,716,23,11,10,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
355,s2lam158_231014,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.610533,23.436025,321,1121,23,10,14,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
305,s2lam128_230802,Not available,Not available,Not available,-33.5081,20.6507,349,718,23,8,2,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
328,s2lam069_230717,Not available,Not available,Not available,-34.0865,18.41699,335,1160,23,7,17,Wet season,Y,Y,Seep,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
273,s2lam045_231117,Not near (100 m) any water,Old (> 17 yrs),Dense to Closed,-34.706518,20.097313,367,535,23,11,17,Dry season,Y,Y,NA,Agriculture,Low: 0-500 m,No data or No Fire,26,8
336,s2lam113_231115,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.109922,18.455769,331,586,23,11,15,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
304,s2lam123_231125,Not near (100 m) any water,Old (> 17 yrs),Rare to Very Scattered,-34.73398,19.969947,350,573,23,11,25,Dry season,Y,N,Estuary,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,87,7
334,s2lam122_230714,Not available,Not available,Not available,-33.730929,21.9381,332,996,23,7,14,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,52,8
297,s2lam063_230822,Not available,Not available,Not available,-34.461645,20.4306,353,732,23,8,22,Wet season,Y,Y,Depression,Shrubland-Fynbos,Low: 0-500 m,25+ years,43,4
312,s2lam126_230820,Not available,Not available,Not available,-34.741527,19.6588,345,854,23,8,20,Wet season,Y,N,Seep,Shrubland-Fynbos,Low: 0-500 m,12-to-17 years,54,7
257,s2lam003_230710,Not available,Not available,Not available,-34.3059,18.437463,375,570,23,7,10,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,17,7
264,s2lam104_230617,Not available,Not available,Not available,-33.9906,22.726467,372,542,23,6,17,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,32,1
288,s2lam168_231122,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-32.396407,19.087181,360,430,23,11,22,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,12-to-17 years,71,2
332,s2lam061_230814,Not available,Not available,Not available,-33.8847,22.4398,333,1142,23,8,14,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,3,2
342,s2lam154_231005,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.347012,21.931378,328,837,23,10,5,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,6-to-12 years,49,8
285,s2lam120_230710,Not available,Not available,Not available,-34.0646,20.4391,361,1302,23,7,10,Wet season,Y,N,NA,Wetland,Low: 0-500 m,No data or No Fire,98,2
253,s2lam038_230829,Not available,Not available,Not available,-33.954446,23.629488,377,1144,23,8,29,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
340,s2lam136_231117,In or near (25 m) wetland,Old (> 17 yrs),Rare to Very Scattered,-34.700958,20.090602,329,543,23,11,17,Dry season,Y,Y,Estuary,Agriculture,Low: 0-500 m,No data or No Fire,26,8
338,s2lam133_231127,Not available,Intermediate (6-17 yrs),None,-33.14928,18.029158,330,1265,23,11,27,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,42,4
321,s2lam001_230809,Not available,Not available,Not available,-33.91151,23.13604,340,691,23,8,9,Wet season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,61,4
364,s2lam083_230826,Not available,Not available,Not available,-33.0388,19.054888,317,116,23,8,26,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,95,7
250,s2lam129_230807,Not available,Not available,Not available,-34.711748,20.0903,379,575,23,8,7,Wet season,Y,Y,Wetland Flat,Water,Low: 0-500 m,No data or No Fire,26,8
319,s2lam119_230802,Not available,Not available,Not available,-33.501017,20.7155,341,718,23,8,2,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
292,s2lam079_230829,Not available,Not available,Not available,-33.946077,23.6249,358,1143,23,8,29,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
357,s2lam063_230812,Not available,Not available,Not available,-34.8089,19.9618,320,710,23,8,12,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
337,s2lam085_230808,Not available,Not available,Not available,-33.1493,18.029183,330,877,23,8,8,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,42,4
362,s2lam093_231004,Not near (100 m) any water,Old (> 17 yrs),None,-33.987271,22.696611,318,719,23,10,4,Dry season,Y,Y,Estuary,Wetland,Low: 0-500 m,No data or No Fire,32,1
370,s2lam132_230807,Not available,Not available,Not available,-33.113033,18.0908,314,1125,23,8,7,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,7,3
287,s2lam030_230704,Not available,Not available,Not available,-32.3964,19.0871,360,1272,23,7,4,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,12-to-17 years,71,2
350,s2lam112_230812,Not available,Not available,Not available,-32.253128,19.146038,324,1457,23,8,12,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,20,4
260,s2lam096_231027,Within 50 m of a river or stream,Old (> 17 yrs),None,-34.000443,18.954147,374,1001,23,10,27,Dry season,Y,N,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,94,1
368,s2lam104_231110,Not near (100 m) any water,Old (> 17 yrs),None,-33.956596,23.143182,315,718,23,11,10,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
262,s2lam107_230811,Not available,Not available,Not available,-34.033775,23.198415,373,715,23,8,11,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,67,2
358,s2lam136_231010,Not near (100 m) any water,Old (> 17 yrs),None,-34.80887,19.961828,320,695,23,10,10,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
326,s2lam117_230815,Not available,Not available,Not available,-33.345123,21.9913,338,1177,23,8,15,Wet season,Y,Y,NA,Agriculture,High: >1000 m,12-to-17 years,49,8
256,s2lam040_231020,Not near (100 m) any water,Old (> 17 yrs),None,-33.98288,22.604379,376,722,23,10,20,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,46,3
294,s2lam116_231028,Not near (100 m) any water,Old (> 17 yrs),None,-34.746177,19.654136,357,1010,23,10,28,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,12-to-17 years,54,7
344,s2lam144_231130,In or near (25 m) wetland,Intermediate (6-17 yrs),None,-34.323225,18.964367,327,618,23,11,30,Dry season,Y,Y,Seep,Wetland,Low: 0-500 m,1-to-6 years,105,5
303,s2lam120_230812,Not available,Not available,Not available,-34.734,19.969982,350,711,23,8,12,Wet season,Y,N,Estuary,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,87,7
283,s2lam128_231014,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.619727,23.444398,362,1123,23,10,14,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
354,s2lam164_231109,Not available,Not available,Not available,-33.92786,22.451706,322,987,23,11,9,Dry season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,100,6
346,s2lam089_230820,Not available,Not available,Not available,-34.005238,18.390386,326,1030,23,8,20,Wet season,Y,Y,Floodplain,Forest-Woodland,Low: 0-500 m,No data or No Fire,83,8
269,s2lam128_230809,Not available,Not available,Not available,-33.830925,23.1796,369,726,23,8,9,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,No data or No Fire,101,7
263,s2lam074_231004,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.990618,22.726437,372,719,23,10,4,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,32,1
290,s2lam159_230725,Not available,Not available,Not available,-33.4422,20.7631,359,1013,23,7,25,Wet season,Y,N,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,23,4
329,s2lam054_230630,Not available,Not available,Not available,-34.6571,19.6213,334,567,23,6,30,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,72,4
295,s2lam103_231114,Not available,Not available,Not available,-33.73812,21.672266,356,864,23,11,14,Dry season,Y,N,River,Bare,Low: 0-500 m,No data or No Fire,78,7
280,s2lam046_231025,Not near (100 m) any water,Intermediate (6-17 yrs),None,-33.005776,19.053061,364,697,23,10,25,Dry season,Y,Y,NA,Forest-Woodland,High: >1000 m,6-to-12 years,95,7
343,s2lam117_230703,Not available,Not available,Not available,-34.323022,18.9642,327,1118,23,7,3,Wet season,Y,Y,Seep,Wetland,Low: 0-500 m,1-to-6 years,105,5
286,s2lam148_231009,In or near (10 m) seep,Intermediate (6-17 yrs),None,-34.064732,20.43924,361,1022,23,10,9,Dry season,Y,N,NA,Wetland,Low: 0-500 m,No data or No Fire,98,2
367,s2lam074_230804,Not available,Not available,Not available,-33.9566,23.1432,315,724,23,8,4,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
318,s2lam107_230725,Not available,Not available,Not available,-33.912348,22.9657,342,1009,23,7,25,Wet season,Y,N,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,33,6
372,s2lam162_230707,Not available,Not available,Not available,-33.673928,21.887988,313,737,23,7,7,Wet season,Y,N,NA,Grassland,Low: 0-500 m,25+ years,21,1
277,s2lam121_231125,Not near (100 m) any water,Old (> 17 yrs),None,-34.730745,19.949485,365,590,23,11,25,Dry season,Y,N,NA,Agriculture,Low: 0-500 m,No data or No Fire,87,7
284,s2lam155_230717,Not available,Not available,Not available,-33.6197,23.4444,362,1441,23,7,17,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
272,s2lam093_230818,Not available,Not available,Not available,-33.977215,23.5712,368,867,23,8,18,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
251,s2lam069_230710,Not available,Not available,Not available,-34.109068,18.449882,378,631,23,7,10,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
313,s2lam104_230804,Not available,Not available,Not available,-33.948147,23.142793,344,729,23,8,4,Wet season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
339,s2lam116_230807,Not available,Not available,Not available,-34.701,20.0906,329,575,23,8,7,Wet season,Y,Y,Estuary,Agriculture,Low: 0-500 m,No data or No Fire,26,8
352,s2lam138_231011,In or near (25 m) wetland,Intermediate (6-17 yrs),None,-33.344107,22.021478,323,1265,23,10,11,Dry season,Y,Y,NA,Forest-Woodland,High: >1000 m,6-to-12 years,49,8
265,s2lam002_231103,Within 50 m of a river or stream,Intermediate (6-17 yrs),Rare to Very Scattered,-34.075813,18.402034,371,555,23,11,3,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
320,s2lam151_231026,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.500992,20.715478,341,855,23,10,26,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,10,5
301,s2lam032_230808,Not available,Not available,Not available,-33.670513,21.544025,351,976,23,8,8,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
365,s2lam089_231106,Not near (100 m) any water,Not available,None,-32.526707,19.348005,316,697,23,11,6,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,No data or No Fire,104,2
