split,actual,predicted,error,baseline_guess
train,15.0,23.007593,8.007593,23.526829
train,29.0,24.712627,-4.2873726,23.526829
train,28.0,20.410347,-7.589653,23.526829
train,19.0,20.811586,1.8115864,23.526829
train,19.0,21.93386,2.9338608,23.526829
train,39.0,25.330923,-13.669077,23.526829
train,21.0,18.749025,-2.2509747,23.526829
train,23.0,22.541365,-0.45863533,23.526829
train,30.0,22.04786,-7.952141,23.526829
train,21.0,22.258537,1.2585373,23.526829
train,31.0,28.03975,-2.9602509,23.526829
train,20.0,25.436779,5.436779,23.526829
train,20.0,23.86049,3.8604908,23.526829
train,24.0,25.30468,1.3046799,23.526829
train,38.0,24.777576,-13.222424,23.526829
train,27.0,23.00438,-3.9956207,23.526829
train,24.0,27.104399,3.1043987,23.526829
train,33.0,23.00438,-9.995621,23.526829
train,35.0,23.185356,-11.814644,23.526829
train,24.0,20.66321,-3.33679,23.526829
train,36.0,24.675034,-11.324966,23.526829
train,15.0,23.00438,8.004379,23.526829
train,19.0,25.392542,6.392542,23.526829
train,17.0,25.26833,8.26833,23.526829
train,27.0,21.149216,-5.8507843,23.526829
train,33.0,25.366638,-7.633362,23.526829
train,28.0,25.8929,-2.1070995,23.526829
train,34.0,25.220465,-8.779535,23.526829
train,18.0,22.318708,4.3187084,23.526829
train,8.0,22.482845,14.482845,23.526829
train,25.0,19.656675,-5.3433247,23.526829
train,34.0,29.124617,-4.8753834,23.526829
train,28.0,27.636307,-0.36369324,23.526829
train,20.0,18.946388,-1.0536118,23.526829
train,27.0,23.13063,-3.8693695,23.526829
train,17.0,23.00438,6.0043793,23.526829
train,19.0,19.414295,0.4142952,23.526829
train,27.0,22.277925,-4.7220745,23.526829
train,31.0,25.139812,-5.8601875,23.526829
train,23.0,19.702831,-3.2971687,23.526829
train,22.0,25.48308,3.48308,23.526829
train,12.0,21.5201,9.5201,23.526829
train,24.0,20.844742,-3.1552582,23.526829
train,11.0,22.738321,11.738321,23.526829
train,20.0,22.149294,2.149294,23.526829
train,32.0,22.313488,-9.686512,23.526829
train,22.0,23.455263,1.4552631,23.526829
train,24.0,24.573977,0.5739765,23.526829
train,26.0,21.193184,-4.806816,23.526829
train,28.0,28.22321,0.22320938,23.526829
train,26.0,22.211994,-3.7880058,23.526829
train,23.0,25.313538,2.3135376,23.526829
train,14.0,22.711004,8.711004,23.526829
train,25.0,28.19096,3.19096,23.526829
train,26.0,19.64973,-6.3502693,23.526829
train,29.0,24.793186,-4.206814,23.526829
train,16.0,24.545628,8.545628,23.526829
train,27.0,28.062912,1.062912,23.526829
train,20.0,18.857458,-1.1425419,23.526829
train,27.0,23.00438,-3.9956207,23.526829
train,17.0,17.588682,0.5886822,23.526829
train,25.0,28.200916,3.2009163,23.526829
train,17.0,21.563078,4.563078,23.526829
train,21.0,23.292711,2.2927113,23.526829
train,24.0,22.866507,-1.1334934,23.526829
train,30.0,25.24827,-4.75173,23.526829
train,33.0,25.985315,-7.0146847,23.526829
train,31.0,22.297844,-8.702156,23.526829
train,31.0,25.580069,-5.4199314,23.526829
train,21.0,27.584679,6.5846786,23.526829
train,24.0,26.730621,2.7306213,23.526829
train,29.0,26.120722,-2.8792782,23.526829
train,14.0,23.00438,9.004379,23.526829
train,30.0,26.706736,-3.2932644,23.526829
train,23.0,18.322456,-4.6775436,23.526829
train,33.0,26.21903,-6.7809696,23.526829
train,24.0,23.00438,-0.9956207,23.526829
train,26.0,25.300194,-0.6998062,23.526829
train,22.0,22.853714,0.853714,23.526829
train,6.0,24.94835,18.94835,23.526829
train,27.0,23.00438,-3.9956207,23.526829
train,13.0,21.310753,8.310753,23.526829
train,23.0,23.35106,0.35106087,23.526829
train,29.0,20.759968,-8.240032,23.526829
train,27.0,26.120409,-0.879591,23.526829
train,25.0,20.341637,-4.6583633,23.526829
train,16.0,23.00438,7.0043793,23.526829
train,24.0,25.90026,1.9002609,23.526829
train,27.0,20.754667,-6.2453327,23.526829
train,21.0,18.531654,-2.4683456,23.526829
train,28.0,26.826334,-1.173666,23.526829
train,29.0,28.297007,-0.7029934,23.526829
train,31.0,24.789875,-6.210125,23.526829
train,22.0,20.84916,-1.1508408,23.526829
train,7.0,18.388212,11.388212,23.526829
train,15.0,22.218233,7.218233,23.526829
train,29.0,25.487167,-3.5128326,23.526829
train,25.0,28.105234,3.1052341,23.526829
train,22.0,26.47662,4.4766197,23.526829
train,30.0,22.889803,-7.110197,23.526829
train,21.0,23.00438,2.0043793,23.526829
train,27.0,26.75136,-0.24864006,23.526829
train,27.0,24.748217,-2.2517834,23.526829
train,26.0,28.592354,2.5923538,23.526829
train,22.0,22.196554,0.19655418,23.526829
train,27.0,24.404692,-2.5953083,23.526829
train,25.0,22.809662,-2.1903381,23.526829
train,21.0,21.52949,0.5294895,23.526829
train,22.0,22.400597,0.40059662,23.526829
train,24.0,22.874731,-1.1252689,23.526829
train,25.0,23.991505,-1.0084953,23.526829
train,14.0,22.463743,8.463743,23.526829
train,27.0,24.6706,-2.329399,23.526829
train,16.0,16.88999,0.88998985,23.526829
train,27.0,23.757902,-3.2420979,23.526829
train,34.0,25.394272,-8.605728,23.526829
train,33.0,28.266361,-4.733639,23.526829
train,20.0,18.625463,-1.3745365,23.526829
train,22.0,26.427628,4.4276276,23.526829
train,12.0,16.753574,4.7535744,23.526829
train,25.0,23.95869,-1.0413094,23.526829
train,23.0,28.789513,5.7895126,23.526829
train,28.0,26.372688,-1.6273117,23.526829
train,18.0,25.852936,7.852936,23.526829
train,39.0,22.660252,-16.339748,23.526829
train,23.0,22.575806,-0.42419434,23.526829
train,23.0,19.618822,-3.381178,23.526829
train,21.0,20.122534,-0.8774662,23.526829
train,35.0,24.999418,-10.000582,23.526829
train,27.0,24.952986,-2.0470142,23.526829
train,13.0,22.451485,9.451485,23.526829
train,35.0,25.708248,-9.291752,23.526829
train,29.0,21.718777,-7.2812233,23.526829
train,25.0,25.738844,0.7388439,23.526829
train,25.0,23.720139,-1.2798615,23.526829
train,14.0,22.545004,8.545004,23.526829
train,11.0,17.285553,6.285553,23.526829
train,27.0,22.253052,-4.7469482,23.526829
train,18.0,18.937216,0.9372158,23.526829
train,30.0,22.54251,-7.457491,23.526829
train,17.0,19.903395,2.9033947,23.526829
train,21.0,25.076624,4.076624,23.526829
train,24.0,25.039665,1.0396652,23.526829
train,29.0,25.333172,-3.6668282,23.526829
train,23.0,26.600206,3.6002064,23.526829
train,32.0,23.991634,-8.008366,23.526829
train,30.0,25.233494,-4.766506,23.526829
train,19.0,25.51246,6.5124607,23.526829
train,27.0,20.401958,-6.5980415,23.526829
train,25.0,27.551704,2.5517044,23.526829
train,26.0,24.587524,-1.4124756,23.526829
train,13.0,18.952808,5.9528084,23.526829
train,20.0,22.237623,2.2376232,23.526829
train,27.0,18.413942,-8.586058,23.526829
train,17.0,22.861866,5.861866,23.526829
train,27.0,25.119328,-1.8806725,23.526829
train,17.0,17.42219,0.4221897,23.526829
train,25.0,24.810595,-0.18940544,23.526829
train,20.0,18.74509,-1.2549095,23.526829
train,12.0,19.172352,7.172352,23.526829
train,20.0,19.127495,-0.8725052,23.526829
train,35.0,23.00438,-11.995621,23.526829
train,31.0,27.418772,-3.5812283,23.526829
train,24.0,26.136803,2.1368027,23.526829
train,24.0,20.872635,-3.127365,23.526829
train,33.0,23.099602,-9.900398,23.526829
train,38.0,24.274612,-13.725388,23.526829
train,31.0,23.00438,-7.9956207,23.526829
train,25.0,21.00399,-3.9960098,23.526829
train,33.0,22.528069,-10.471931,23.526829
train,18.0,23.303501,5.303501,23.526829
train,31.0,23.185368,-7.8146324,23.526829
train,9.0,18.54449,9.544491,23.526829
train,16.0,22.656965,6.6569653,23.526829
train,30.0,23.892939,-6.1070614,23.526829
train,22.0,23.691174,1.6911736,23.526829
train,35.0,23.00438,-11.995621,23.526829
train,27.0,25.400593,-1.5994072,23.526829
train,31.0,22.742117,-8.257883,23.526829
train,25.0,23.00438,-1.9956207,23.526829
train,19.0,23.00438,4.0043793,23.526829
train,29.0,21.539078,-7.4609222,23.526829
train,17.0,23.00438,6.0043793,23.526829
train,38.0,23.00438,-14.995621,23.526829
train,16.0,21.234686,5.234686,23.526829
train,22.0,21.97543,-0.024570465,23.526829
train,25.0,23.235785,-1.7642155,23.526829
train,19.0,23.60964,4.60964,23.526829
train,16.0,23.00438,7.0043793,23.526829
train,21.0,24.74309,3.7430897,23.526829
train,23.0,20.03711,-2.9628906,23.526829
train,8.0,18.274078,10.274078,23.526829
train,24.0,28.104752,4.1047516,23.526829
train,30.0,29.472208,-0.527792,23.526829
train,19.0,20.2499,1.2499008,23.526829
train,31.0,23.911142,-7.0888577,23.526829
train,28.0,22.136206,-5.8637943,23.526829
train,28.0,22.267756,-5.7322445,23.526829
train,32.0,27.506443,-4.493557,23.526829
train,11.0,22.989017,11.9890175,23.526829
train,25.0,23.00438,-1.9956207,23.526829
train,30.0,26.106173,-3.8938274,23.526829
train,20.0,18.116013,-1.8839874,23.526829
train,21.0,21.888529,0.8885288,23.526829
train,14.0,16.565266,2.5652657,23.526829
train,31.0,23.289602,-7.7103977,23.526829
train,24.0,22.944939,-1.0550613,23.526829
train,27.0,26.311771,-0.6882286,23.526829
train,23.0,19.882776,-3.1172237,23.526829
train,32.0,23.92955,-8.07045,23.526829
train,5.0,19.307772,14.307772,23.526829
train,27.0,23.454994,-3.5450058,23.526829
train,26.0,21.359173,-4.640827,23.526829
train,31.0,28.084538,-2.9154625,23.526829
train,18.0,25.702682,7.7026825,23.526829
train,4.0,23.00438,19.00438,23.526829
train,21.0,28.9562,7.9561996,23.526829
train,34.0,28.633333,-5.366667,23.526829
train,34.0,24.140997,-9.859003,23.526829
train,29.0,25.313007,-3.6869926,23.526829
train,27.0,18.297537,-8.702463,23.526829
train,22.0,23.343767,1.3437672,23.526829
train,29.0,21.370365,-7.629635,23.526829
train,7.0,25.703478,18.703478,23.526829
train,21.0,23.00438,2.0043793,23.526829
train,31.0,23.00438,-7.9956207,23.526829
train,33.0,24.752638,-8.247362,23.526829
train,19.0,19.327961,0.32796097,23.526829
train,20.0,19.892773,-0.107227325,23.526829
train,20.0,22.98312,2.98312,23.526829
train,2.0,18.433708,16.433708,23.526829
train,23.0,21.746195,-1.2538052,23.526829
train,14.0,24.732294,10.732294,23.526829
train,25.0,20.844303,-4.155697,23.526829
train,9.0,22.585188,13.585188,23.526829
train,15.0,24.68137,9.68137,23.526829
train,33.0,23.00438,-9.995621,23.526829
train,25.0,24.254965,-0.7450352,23.526829
train,9.0,18.123222,9.123222,23.526829
train,19.0,21.842232,2.8422318,23.526829
train,29.0,28.891804,-0.10819626,23.526829
train,21.0,20.118982,-0.8810177,23.526829
train,32.0,23.00438,-8.995621,23.526829
train,27.0,28.304745,1.3047447,23.526829
train,23.0,22.540974,-0.45902634,23.526829
train,26.0,24.426237,-1.5737629,23.526829
train,24.0,21.856112,-2.1438885,23.526829
train,24.0,23.00438,-0.9956207,23.526829
train,27.0,23.00438,-3.9956207,23.526829
train,20.0,25.077175,5.077175,23.526829
train,32.0,24.879358,-7.1206417,23.526829
train,17.0,25.010992,8.010992,23.526829
train,26.0,26.890463,0.8904629,23.526829
train,29.0,21.466143,-7.5338573,23.526829
train,19.0,20.394777,1.3947773,23.526829
train,19.0,21.31567,2.31567,23.526829
train,7.0,15.625085,8.625085,23.526829
train,27.0,20.610016,-6.389984,23.526829
train,21.0,24.06117,3.0611706,23.526829
train,38.0,24.964886,-13.035114,23.526829
